species,museum,catalog#,Locality,State,Country,SVL (cm),sex,gut contents,notes,Prey_item_number,Ectotherm,Endotherm,Prey_taxa_major,Prey_taxa_family,Prey taxa 2,Prey_common_group,Prey size,Prey activity
abdi,WAM,80433,15 km N of Nautarra Roadhouse,WA,AUS,43,F,pygmy possum,,1,0,1,Mammalian,Burramyidae,,,,crepuscular / nocturnal
abdi,WAM,104188,,WA,AUS,43,M,fec (fur),,1,0,1,Mammalian,Mammalian-unknown,,,,crepuscular / nocturnal
ant,AM,133425,"TANJA, ABOUT 10KM N OF TATHRA                                                   ",,,43,F,"skink, 4 toes, 12 scales long on tail",,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,FMNH,97035,N. Queensland: Cairns,QLD,AUS,43.4,M,mammal tail and fur,mammal fur in hindgut and intestines + talon,1,0,1,Mammalian,Mammalian-unknown,,Mammalia,unknown,crepuscular / nocturnal
ant,FMNH,97035,N. Queensland: Cairns,QLD,AUS,43.4,M,mammal tail and fur,mammal fur in hindgut and intestines + talon,1,0,1,Avian,Bird-unknown,Avian,Mammalia,unknown,unknown
ant,AM,11712,BELLINGEN                                                                       ,NSW,AUS,44,m,bird-sparrow,,1,0,1,Avian,Passerididae,,,small,diurnal
ant,WAM,248,Lion Mill,WA,AUS,44,M,Egernia napoleonis; Cryptoblepharis plagiocephalis,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,248,Lion Mill,WA,AUS,44,M,Egernia napoleonis; Cryptoblepharis plagiocephalis,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,5619,Jarrahdale,WA,AUS,44,M,skink sp.,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,AM,14352,GOROKA [EASTERN HIGHLANDS DISTRICT]                                             ,,PNG,44,f,one small mammal,,1,0,1,Mammalian,Mammalian-unknown,,,,crepuscular / nocturnal
abdi,WAM,113378,,WA,AUS,44.5,F,Mus domesticus,,1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
pyr,WAM,70699,Kalgoorlie,WA,AUS,44.8,F,"Ctenophorus sp., Egernia formosa",,1,1,0,Reptilian,Agamidae,,,,diurnal
pyr,WAM,70699,Kalgoorlie,WA,AUS,44.8,F,"Ctenophorus sp., Egernia formosa",,1,1,0,Reptilian,Scincidae,,,,diurnal
pyr,WAM,79008,27 km NE of Sandfire Roadhouse Anna Plains Station,WA,AUS,44.8,M,1liz+fec,,1,1,0,Reptilian,Reptile-unknown,,,,diurnal
ant,WAM,87939,Jarrahdale,WA,AUS,45,M,"1skink,1bird",,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,87939,Jarrahdale,WA,AUS,45,M,"1skink,1bird",,1,0,1,Avian,Bird-unknown,,,,unknown
ant,NTM,8194,,NT,AUS,45.5,F,Agamid lizard; Litoria sp.(frog),,1,1,0,Amphibian,Pelodryadidae,,Anura,,unknown
ant,NTM,8194,,NT,AUS,45.5,F,Agamid lizard; Litoria sp.(frog),,1,1,0,Reptilian,Agamidae,,Agamidae,unknown,diurnal
ant,QM,45512,,QLD,AUS,45.6,F,Lizard; Mus domesticus; feather,,1,1,0,Reptilian,Reptile-unknown,,,,diurnal
ant,QM,45512,,QLD,AUS,45.6,F,Lizard; Mus domesticus; feather,,1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
ant,QM,45512,,QLD,AUS,45.6,F,Lizard; Mus domesticus; feather,,1,0,1,Avian,Bird-unknown,,,,unknown
ant,USNM,213463,,"W. Province: Balimo, Makapa R. Aramia River",PNG,45.8,F,USNM 213384 Sphenomorphus melanopogon,50mm balls of calcified scales in hindgut,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,AM,80906,"WOLLEMI NATIONAL PARK, WOLLEMI CREEK - CAPERTEE RIVER AREA                      ",,PNG,46.4,f,"Physignathus leseuri, Sphenomorphus quoyi",,1,1,0,Reptilian,Agamidae,,,,diurnal
ant,AM,80906,"WOLLEMI NATIONAL PARK, WOLLEMI CREEK - CAPERTEE RIVER AREA                      ",,PNG,46.4,f,"Physignathus leseuri, Sphenomorphus quoyi",,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,CAS,109915,,Dunantina Valley,PNG,46.5,F,none,2 sides of lizard jaw (skink) in hindgut and a nemotode,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,CAS,118942,,"Purari River, Oroi",PNG,46.6,F,lots of fur,"hindgut contains mammal fur, big hard thing",1,0,1,Mammalian,Mammalian-unknown,,,,crepuscular / nocturnal
ant,CAS-SU,20904,,Moroge: Bulolo,PNG,46.7,M,rodent (probably Rattus),hindgut contains more rat fur,1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
ant,QM,1937,Buderim Mt,QLD,AUS,46.8,f,mammal Mus,Mus domesticus (2),1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
ant,QM,1937,Buderim Mt,QLD,AUS,46.8,f,mammal Mus,Mus domesticus (2),1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
pyr,QM,39570,"Durrie Stn, via Birdsville",QLD,AUS,47,F,Mus domesticus,,1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
ant,AM,76968,"ANGURUGU MISSION, GROOTE EYLANDT                                                ",NT,AUS,47.5,f,Ctenotus robustus,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,SAM,19229,,SA,AUS,47.5,M,Ctenotus uber orientalis,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,2820,,WA,AUS,47.5,M,Morethia obscura; I bird,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,2820,,WA,AUS,47.5,M,Morethia obscura; I bird,,1,0,1,Avian,Bird-unknown,,,,unknown
pyr,AM,128358,FORREST RIVER MISSION                                                           ,,,47.7,F,reptile scales,,1,1,0,Reptilian,Reptile-unknown,,,,diurnal
ant,WAM,333,Bedfordale,WA,AUS,47.8,F,Morethia obscura (4),,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,333,Bedfordale,WA,AUS,47.8,F,Morethia obscura (4),,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,333,Bedfordale,WA,AUS,47.8,F,Morethia obscura (4),,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,333,Bedfordale,WA,AUS,47.8,F,Morethia obscura (4),,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,SAM,18749,,SA,AUS,48,M,skink,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,1519,,NT,AUS,48,M,Cryptoblepharus plagiocephalus (2),,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,1519,,NT,AUS,48,M,Cryptoblepharus plagiocephalus (2),,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,CAS,98662,,Wonenaca,PNG,48,F,none,"hindgut contains cricket or insect part, tooth from Acan, blk stuff",1,1,0,Insecta,Insect-unknown,,,,unknown
ant,CAS,135509,,Lake Murray,PNG,48,F,none,"hindgut contains straw, white fur, hard parts",1,0,1,Mammalian,Mammalian-unknown,,,,crepuscular / nocturnal
pyr,NTM,1957,,NT,AUS,48.5,F,agamid and gecko,,1,1,0,Reptilian,Gekkonidae,Geckonidae,Agamidae,unknown,diurnal
pyr,NTM,1957,,NT,AUS,48.5,F,agamid and gecko,,1,1,0,Reptilian,Agamidae,Geckonidae,Agamidae,unknown,diurnal
pyr,WAM,91671,55 km S of Anna Plains HS,WA,AUS,48.7,F,Ctenotus grandis,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,NTM,5248,,NT,AUS,49,M,skink,,1,1,0,Reptilian,Scincidae,,Scincidae,unknown,diurnal
pyr,NTM,9974,,WA,AUS,49,F,"Litoria sp., agamid sp.",,1,1,0,Reptilian,Agamidae,Agamidae,,,diurnal
pyr,NTM,9974,,WA,AUS,49,F,"Litoria sp., agamid sp.",,1,1,0,Amphibian,Pelodryadidae,,Anura,,unknown
ant,BPBM,1271,Sydney,NSW,AUS,50.5,M?,nothing,"smushed blk stuff, hard, poss. Scales in hindgut",1,1,0,Reptilian,Reptile-unknown,,,,diurnal
pyr,NTM,31216,,NT,AUS,50.5,F,1liz,,1,1,0,Reptilian,Reptile-unknown,,Squamata,unknown,diurnal
pyr,WAM,79006,13 km SE of Anna Plains Homestead,WA,AUS,50.5,M,Diporiphora winneckei,,1,1,0,Reptilian,Agamidae,,,,diurnal
pyr,NTM,7189,,WA,AUS,51,F,skinks,,1,0,1,Reptilian,Scincidae,,Scincidae,unknown,diurnal
ant,WAM,26689,Araluen,WA,AUS,51,F,Egernia sp.,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,CAS,77793,,VIC,AUS,51.3,F,2 domestic mammals + fur,Mus musculus,1,0,1,Mammalian,Muridae,Muridae,Muridae,medium,crepuscular / nocturnal
ant,CAS,77793,,VIC,AUS,51.3,F,2 domestic mammals + fur,"1 mammal is white domestic mouse, rocks and fur in feces",1,0,1,Mammalian,Mammalian-unknown,,Mammalia,unknown,crepuscular / nocturnal
ant,CAS,77793,,VIC,AUS,51.3,F,2 domestic mammals + fur,"1 mammal is white domestic mouse, rocks and fur in feces",1,0,1,Mammalian,Mammalian-unknown,,Mammalia,unknown,crepuscular / nocturnal
ant,NTM,5201,,NT,AUS,52,F,1mammal,,1,0,1,Mammalian,Mammalian-unknown,,Mammalia,unknown,crepuscular / nocturnal
pyr,WAM,9996,Tallering Stn. Pindar,WA,AUS,52,F,skink,,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,NTM,9724,,NT,AUS,52.5,F,Litoria sp.,,1,1,0,Amphibian,Pelodryadidae,,Anura,,unknown
ant,WAM,5948,Canning Dam,WA,AUS,52.5,F,Egernia sp.,liz tail in feces,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,5948,Canning Dam,WA,AUS,52.5,F,Egernia sp.,liz tail in feces,1,1,0,Reptilian,Scincidae,,,,diurnal
ant,WAM,9576,Jarrahdale,WA,AUS,52.7,M,fur&feathers in fec (bird),,1,0,1,Mammalian,Mammalian-unknown,,,,crepuscular / nocturnal
ant,WAM,9576,Jarrahdale,WA,AUS,52.7,M,fur&feathers in fec (bird),,1,0,1,Avian,Bird-unknown,,,,unknown
pyr,WAM,9756,,WA,AUS,53.6,F,Ctenophorus ,,1,1,0,Reptilian,Agamidae,,,,diurnal
ant,QM,40284,no data,,,54,F,white mouse fur,,1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
ant,QM,50588,"Magnetic Is, Nelly Beach",QLD,AUS,56.5,F,lizard; frog,,1,1,0,Reptilian,Reptile-unknown,,,,diurnal
ant,QM,50588,"Magnetic Is, Nelly Beach",QLD,AUS,56.5,F,lizard; frog,,1,1,0,Amphibian,Frog-unknown,,,,unknown
ant,QM,8105,Roma,QLD,AUS,57.4,m,mammal possibly Mus,Mus domesticus,1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
ant,SAM,24221,,SA,AUS,60,M,Rattus,,1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
ant,CAS-SU,20905,,Moroge: Bulolo,PNG,60.9,F,none,"rat fur in hindgut, weight > 400g",1,0,1,Mammalian,Muridae,,,,crepuscular / nocturnal
ant,QM,4717,Brookfield,QLD,AUS,61.1,f,Mice,,1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
ant,QM,4717,Brookfield,QLD,AUS,61.1,f,2 mice and one small bird,,1,0,1,Mammalian,Muridae,,,medium,crepuscular / nocturnal
ant,QM,4717,Brookfield,QLD,AUS,61.1,f,2 mice and one small bird,,1,0,1,Avian,Bird-unknown,,,medium,unknown
